Tournament,year,month,day,City,Date_start_tournament,Prize,Surface,Indoor_flag,Currency,ID,pays
Open de Moselle,2008,9,29,metz,29/09/2008,349000,Hard,1,euro,230,france
BA-CA Tennis Trophy,2008,10,6,vienne,6/10/2008,653000,Hard,1,euro,58,austria
Kremlin Cup,2008,10,6,moscou,6/10/2008,1506053.12,Hard,1,$,62,russia
Stockholm Open,2008,10,6,stockholm,6/10/2008,692000,Hard,1,euro,68,sweden
Madrid Masters,2008,10,12,madrid,12/10/2008,2057000,Hard,1,euro,107,spain
Davidoff Swiss Indoors,2008,10,20,bâle,20/10/2008,870000,Hard,1,euro,61,switzerland
Grand Prix de Lyon,2008,10,20,lyon,20/10/2008,692000,Carpet,1,euro,64,france
St. Petersburg Open,2008,10,20,saint-pétersbourg,20/10/2008,1506053.12,Hard,1,$,65,russia
BNP Paribas,2008,10,26,paris,26/10/2008,2057000,Hard,1,euro,66,france
Masters Cup,2008,11,9,shanghai,9/11/2008,5588869,Hard,1,$,300,china
Brisbane International,2009,1,4,brisbane,4/01/2009,603930.647,Hard,0,$,70,australia
Chennai Open,2009,1,5,chennai,5/01/2009,555462.7718,Hard,0,$,2,india
Qatar Exxon Mobil Open,2009,1,5,doha,5/01/2009,1428233.216,Hard,0,$,3,qatar
Heineken Open,2009,1,12,auckland,12/01/2009,598351.611,Hard,0,$,4,new-zealand
Medibank International,2009,1,12,sydney,12/01/2009,603930.647,Hard,0,$,5,australia
Australian Open,2009,1,19,melbourne,19/01/2009,18989545,Hard,0,AU$,6,australia
Movistar Open,2009,2,2,viña del mar,2/02/2009,620667.755,Clay,0,$,72,chile
PBZ Zagreb Indoors,2009,2,2,zagreb,2/02/2009,398250,Hard,1,euro,75,croatia
SA Tennis Open,2009,2,2,johannesburg,2/02/2009,617180.8575,Hard,0,$,101,south africa
ABN AMRO World Tennis Tournament,2009,2,9,rotterdam,9/02/2009,1150000,Hard,1,euro,11,dutchland
Brasil Open,2009,2,9,costa do sauípe,9/02/2009,704353.295,Clay,0,$,93,brasil
SAP Open,2009,2,9,san josé,9/02/2009,740617.029,Hard,1,$,9,costa rica
Copa Telmex,2009,2,16,buenos aires,16/02/2009,740617.029,Clay,0,$,90,argentina
Open 13,2009,2,16,marseille,16/02/2009,512750,Hard,1,euro,8,france
Regions Morgan Keegan Championships,2009,2,16,memphis,16/02/2009,1534234.9,Hard,1,$,10,usa
Abierto Mexicano,2009,2,23,acapulco,23/02/2009,1534234.9,Clay,0,$,87,mexico
Dubai Tennis Championships,2009,2,23,dubaï,23/02/2009,2258812.201,Hard,0,$,7,united arab emirates
International Championships,2009,2,23,delray beach,23/02/2009,617180.8575,Hard,0,$,15,usa
BNP Paribas Open,2009,3,12,indian wells,12/03/2009,5083896.555,Hard,0,$,19,usa
Sony Ericsson Open,2009,3,25,miami,25/03/2009,5083896.555,Hard,0,$,20,usa
Grand Prix Hassan II,2009,4,6,casablanca,6/04/2009,398250,Clay,0,euro,22,tunisia
U.S. Men's Clay Court Championships,2009,4,6,houston,6/04/2009,617180.8575,Clay,0,$,99,usa
Monte Carlo Masters,2009,4,12,monte-carlo,12/04/2009,2227500,Clay,0,euro,24,monaco
Open Banco Sabadell,2009,4,20,barcelone,20/04/2009,1550000,Clay,0,euro,25,spain
Internazionali BNL d'Italia,2009,4,27,rome,27/04/2009,2227500,Clay,0,euro,29,italy
BMW Open,2009,5,3,munich,3/05/2009,398250,Clay,0,euro,27,germany
Estoril Open,2009,5,3,estoril,3/05/2009,398250,Clay,0,euro,23,portugal
Serbia Open,2009,5,5,belgrade,4/05/2009,398250,Clay,0,euro,130,serbia
Mutua Madrileña Madrid Open,2009,5,10,madrid,10/05/2009,2835000,Clay,0,euro,107,spain
Austrian Open,2009,5,17,kitzbühel,17/05/2009,398250,Clay,0,euro,44,austria
French Open,2009,5,24,paris,24/05/2009,7322320,Clay,0,euro,32,france
AEGON Championships,2009,6,8,londres,8/06/2009,663750,Grass,0,euro,34,uk
Gerry Weber Open,2009,6,8,halle (westf.),8/06/2009,663750,Grass,0,euro,33,germany
AEGON International,2009,6,14,eastbourne,14/06/2009,398250,Grass,0,euro,95,uk
Ordina Open,2009,6,14,bois-le-duc,14/06/2009,398250,Grass,0,euro,36,dutchland
Wimbledon,2009,6,22,wimbledon,22/06/2009,5003918.806,Grass,0,£,37,uk
Hall of Fame Championships,2009,7,6,newport,6/07/2009,617180.8575,Grass,0,$,40,usa
Catella Swedish Open,2009,7,13,båstad,13/07/2009,398250,Clay,0,euro,38,sweden
Mercedes Cup,2009,7,13,stuttgart,13/07/2009,398250,Clay,0,euro,42,germany
Indianapolis Tennis Championships,2009,7,19,indianapolis,19/07/2009,627641.55,Hard,0,$,49,usa
International German Open,2009,7,20,hambourg,19/07/2009,1000000,Clay,0,euro,30,germany
Allianz Suisse Open,2009,7,26,gstaad,26/07/2009,398250,Clay,0,euro,39,switzerland
LA Tennis Open,2009,7,27,los angeles,27/07/2009,767117.45,Hard,0,$,45,usa
Studena Croatia Open,2009,7,28,umag,27/07/2009,398250,Clay,0,euro,43,croatia
Legg Mason Classic,2009,8,2,washington,2/08/2009,1625591.615,Hard,0,$,50,usa
Rogers Masters,2009,8,10,montréal,10/08/2009,3389264.37,Hard,0,$,202,canada
Western & Southern Financial Group Masters,2009,8,17,cincinnati,16/08/2009,3389264.37,Hard,0,$,48,usa
Pilot Pen Tennis,2009,8,23,new haven,23/08/2009,925771.2863,Hard,0,$,110,usa
US Open,2009,8,31,flushing meadows,31/08/2009,13607268.8,Hard,0,$,52,usa
Open de Moselle,2009,9,21,metz,21/09/2009,398250,Hard,1,euro,230,france
Open Romania,2009,9,21,bucarest,21/09/2009,398250,Clay,0,euro,53,romania
Proton Malaysian Open,2009,9,28,kuala lumpur,28/09/2009,1185545.15,Hard,1,$,102,malaysia
Thailand Open,2009,9,28,bangkok,28/09/2009,768512.209,Hard,1,$,88,thailand
China Open,2009,10,5,pékin,5/10/2009,2929691.28,Hard,0,$,76,china
Rakuten Japan Open Tennis Championships,2009,10,5,tokyo,5/10/2009,1534234.9,Hard,0,$,57,japan
Shanghai Masters,2009,10,11,shanghai,11/10/2009,4519019.16,Hard,0,$,59,china
Kremlin Cup,2009,10,19,moscou,19/10/2009,1394759,Hard,1,$,62,russia
Stockholm Open,2009,10,19,stockholm,19/10/2009,531000,Hard,1,euro,68,sweden
St. Petersburg Open,2009,10,25,saint-pétersbourg,25/10/2009,925771.2863,Hard,1,$,65,russia
BA-CA Tennis Trophy,2009,10,26,vienne,26/10/2009,500000,Hard,1,euro,58,austria
Grand Prix de Lyon,2009,10,26,lyon,26/10/2009,575250,Hard,1,euro,64,france
Davidoff Swiss Indoors,2009,11,2,bâle,2/11/2009,1225000,Hard,1,euro,61,switzerland
Valencia Open 500,2009,11,2,valence,2/11/2009,1357000,Hard,1,euro,85,spain
BNP Paribas Masters,2009,11,8,paris,8/11/2009,2227500,Hard,1,euro,66,france
Masters Cup,2009,11,22,londres,22/11/2009,6973795,Hard,1,$,300,uk
Brisbane International,2010,1,4,brisbane,4/01/2010,493821.3875,Hard,0,$,70,australia
Chennai Open,2010,1,4,chennai,4/01/2010,527958.0338,Hard,0,$,2,india
Qatar Exxon Mobil Open,2010,1,4,doha,4/01/2010,1357511.68,Hard,0,$,3,qatar
Heineken Open,2010,1,10,auckland,10/01/2010,471284.5725,Hard,0,$,4,new-zealand
Medibank International,2010,1,11,sydney,11/01/2010,493821.3875,Hard,0,$,5,australia
Australian Open,2010,1,18,melbourne,18/01/2010,15934083.44,Hard,0,AU$,6,australia
Movistar Open,2010,2,1,santiago,1/02/2010,527958.0338,Clay,0,$,72,chile
PBZ Zagreb Indoors,2010,2,1,zagreb,1/02/2010,398250,Hard,1,euro,75,croatia
SA Tennis Open,2010,2,1,johannesburg,1/02/2010,586620.0375,Hard,0,$,101,south africa
ABN AMRO World Tennis Tournament,2010,2,8,rotterdam,8/02/2010,1150000,Hard,1,euro,11,dutchland
Brasil Open,2010,2,8,costa do sauípe,8/02/2010,586620.0375,Clay,0,$,93,brasil
SAP Open,2010,2,8,san josé,8/02/2010,703944.045,Hard,1,$,9,costa rica
Copa Telmex,2010,2,15,buenos aires,15/02/2010,630102.8335,Clay,0,$,90,argentina
Open 13,2010,2,15,marseille,15/02/2010,512750,Hard,1,euro,8,france
Regions Morgan Keegan Championships,2010,2,15,memphis,15/02/2010,1458264.5,Hard,1,$,10,usa
Abierto Mexicano,2010,2,22,acapulco,22/02/2010,1266038.725,Clay,0,$,87,mexico
Dubai Tennis Championships,2010,2,22,dubaï,22/02/2010,2146963.053,Hard,0,$,7,united arab emirates
International Championships,2010,2,22,delray beach,22/02/2010,586620.0375,Hard,0,$,15,usa
BNP Paribas Open,2010,3,11,indian wells,8/03/2010,4832158.275,Hard,0,$,19,usa
Sony Ericsson Open,2010,3,24,miami,22/03/2010,4832158.275,Hard,0,$,20,usa
Grand Prix Hassan II,2010,4,5,casablanca,5/04/2010,398250,Clay,0,euro,22,tunisia
U.S. Men's Clay Court Championships,2010,4,5,houston,5/04/2010,586620.0375,Clay,0,$,99,usa
Monte Carlo Masters,2010,4,11,monte-carlo,11/04/2010,2227500,Clay,0,euro,24,monaco
Open Banco Sabadell,2010,4,19,barcelone,19/04/2010,1550000,Clay,0,euro,25,spain
Internazionali BNL d'Italia,2010,4,25,rome,25/04/2010,2227500,Clay,0,euro,29,italy
BMW Open,2010,5,3,munich,3/05/2010,398250,Clay,0,euro,27,germany
Estoril Open,2010,5,3,estoril,3/05/2010,398250,Clay,0,euro,23,portugal
Serbia Open,2010,5,3,belgrade,3/05/2010,373200,Clay,0,euro,130,serbia
Mutua Madrileña Madrid Open,2010,5,9,madrid,9/05/2010,2835000,Clay,0,euro,107,spain
Open de Nice Côte d Azur,2010,5,16,nice,16/05/2010,398250,Clay,0,euro,111,france
French Open,2010,5,23,paris,23/05/2010,7580800,Clay,0,euro,32,france
AEGON Championships,2010,6,7,londres,7/06/2010,627700,Grass,0,euro,34,uk
Gerry Weber Open,2010,6,7,halle (westf.),7/06/2010,663750,Grass,0,euro,33,germany
AEGON International,2010,6,13,bois-le-duc,13/06/2010,398250,Grass,0,euro,36,dutchland
Unicef Open,2010,6,13,eastbourne,13/06/2010,405000,Grass,0,euro,95,uk
Wimbledon,2010,6,21,wimbledon,21/06/2010,5315089.896,Grass,0,£,37,uk
Hall of Fame Championships,2010,7,5,newport,5/07/2010,586620.0375,Grass,0,$,40,usa
Mercedes Cup,2010,7,12,stuttgart,12/07/2010,398250,Clay,0,euro,42,germany
SkiStar Swedish Open,2010,7,12,båstad,12/07/2010,398250,Clay,0,euro,38,sweden
Atlanta Tennis Championships,2010,7,19,atlanta,19/07/2010,703944.045,Hard,0,$,21,usa
German Open Tennis Championships,2010,7,19,hambourg,19/07/2010,1000000,Clay,0,euro,30,germany
Allianz Suisse Open,2010,7,25,gstaad,25/07/2010,398250,Clay,0,euro,39,switzerland
Farmers Classic,2010,7,26,los angeles,26/07/2010,821268.0525,Hard,0,$,45,usa
Studena Croatia Open,2010,7,26,umag,26/07/2010,398250,Clay,0,euro,43,croatia
Legg Mason Classic,2010,8,1,washington,1/08/2010,1545097.523,Hard,0,$,50,usa
Rogers Masters,2010,8,9,toronto,9/08/2010,3221438.85,Hard,0,$,202,canada
Western & Southern Financial Group Masters,2010,8,15,cincinnati,15/08/2010,3221438.85,Hard,0,$,48,usa
Pilot Pen Tennis,2010,8,23,new haven,23/08/2010,879930.0563,Hard,0,$,110,usa
US Open,2010,8,30,flushing meadows,30/08/2010,13930403.06,Hard,0,$,52,usa
Open de Moselle,2010,9,20,metz,20/09/2010,398250,Hard,1,euro,230,france
Open Romania,2010,9,20,bucarest,20/09/2010,368450,Clay,0,euro,53,romania
Proton Malaysian Open,2010,9,27,kuala lumpur,27/09/2010,1126840.75,Hard,1,$,102,malaysia
Thailand Open,2010,9,27,bangkok,27/09/2010,730457.945,Hard,1,$,88,thailand
China Open,2010,10,4,pékin,4/10/2010,2783959.5,Hard,0,$,76,china
Rakuten Japan Open Tennis Championships,2010,10,4,tokyo,4/10/2010,1458264.5,Hard,0,$,57,japan
Shanghai Masters,2010,10,10,shanghai,10/10/2010,4295251.8,Hard,0,$,59,china
Kremlin Cup,2010,10,18,moscou,18/10/2010,1325695,Hard,1,$,62,russia
Stockholm Open,2010,10,18,stockholm,18/10/2010,531000,Hard,1,euro,68,sweden
BA-CA Tennis Trophy,2010,10,25,vienne,25/10/2010,575250,Hard,1,euro,58,austria
Open Sud de France,2010,10,25,montpellier,25/10/2010,575250,Hard,1,euro,201,france
St. Petersburg Open,2010,10,25,saint-pétersbourg,25/10/2010,879930.0563,Hard,1,$,65,russia
Valencia Open 500,2010,10,31,valence,31/10/2010,1357000,Hard,1,euro,85,spain
Swiss Indoors,2010,11,1,bâle,1/11/2010,1225000,Hard,1,euro,61,switzerland
BNP Paribas Masters,2010,11,9,paris,7/11/2010,2227500,Hard,1,euro,66,france
Masters Cup,2010,11,21,londres,21/11/2010,1910807.415,Hard,1,£,300,uk
Brisbane International,2011,1,2,brisbane,2/01/2011,587812.039,Hard,0,$,70,australia
Chennai Open,2011,1,3,chennai,3/01/2011,554336.1225,Hard,0,$,2,india
Qatar Exxon Mobil Open,2011,1,3,doha,3/01/2011,1425336.32,Hard,0,$,3,qatar
Heineken Open,2011,1,10,auckland,10/01/2011,554336.1225,Hard,0,$,4,new-zealand
Medibank International,2011,1,10,sydney,10/01/2011,587812.039,Hard,0,$,5,australia
Australian Open,2011,1,17,melbourne,17/01/2011,15392420.84,Hard,0,AU$,6,australia
Movistar Open,2011,1,31,santiago,31/01/2011,554336.1225,Clay,0,$,72,chile
PBZ Zagreb Indoors,2011,1,31,zagreb,31/01/2011,398250,Hard,1,euro,75,croatia
SA Tennis Open,2011,1,31,johannesburg,31/01/2011,615929.025,Hard,1,$,101,south africa
ABN AMRO World Tennis Tournament,2011,2,7,rotterdam,7/02/2011,1150000,Hard,1,euro,11,dutchland
Brasil Open,2011,2,7,costa do sauípe,7/02/2011,654485.486,Clay,0,$,93,brasil
SAP Open,2011,2,7,san josé,7/02/2011,739114.83,Hard,1,$,9,costa rica
Copa Claro,2011,2,14,buenos aires,14/02/2011,666595.277,Clay,0,$,90,argentina
Open 13,2011,2,14,marseille,14/02/2011,512750,Hard,1,euro,8,france
Regions Morgan Keegan Championships,2011,2,14,memphis,14/02/2011,1531123,Hard,1,$,10,usa
Abierto Mexicano,2011,2,21,acapulco,21/02/2011,1531123,Clay,0,$,87,mexico
Dubai Tennis Championships,2011,2,21,dubaï,21/02/2011,2254230.635,Hard,0,$,7,united arab emirates
International Championships,2011,2,21,delray beach,21/02/2011,615929.025,Hard,0,$,15,usa
BNP Paribas Open,2011,3,10,indian wells,10/03/2011,5073584.85,Hard,0,$,19,usa
Sony Ericsson Open,2011,3,23,miami,23/03/2011,5073584.85,Hard,0,$,20,usa
Grand Prix Hassan II,2011,4,4,casablanca,4/04/2011,398250,Clay,0,euro,22,tunisia
U.S. Men's Clay Court Championships,2011,4,4,houston,4/04/2011,615929.025,Clay,0,$,99,usa
Monte Carlo Masters,2011,4,10,monte-carlo,10/04/2011,2227500,Clay,0,euro,24,monaco
Open Banco Sabadell,2011,4,18,barcelone,18/04/2011,1550000,Clay,0,euro,25,spain
BMW Open,2011,4,24,munich,24/04/2011,398250,Clay,0,euro,27,germany
Estoril Open,2011,4,25,estoril,25/04/2011,398250,Clay,0,euro,23,portugal
Serbia Open,2011,4,25,belgrade,25/04/2011,364900,Clay,0,euro,130,serbia
Mutua Madrileña Madrid Open,2011,5,1,madrid,1/05/2011,2835000,Clay,0,euro,107,spain
Internazionali BNL d'Italia,2011,5,8,rome,8/05/2011,2227500,Clay,0,euro,29,italy
Open de Nice Côte d Azur,2011,5,15,nice,15/05/2011,398250,Clay,0,euro,111,france
French Open,2011,5,22,paris,22/05/2011,7884000,Clay,0,euro,32,france
AEGON Championships,2011,6,6,londres,6/06/2011,608000,Grass,0,euro,34,uk
Gerry Weber Open,2011,6,6,halle (westf.),6/06/2011,663750,Grass,0,euro,33,germany
Unicef Open,2011,6,12,eastbourne,12/06/2011,410925,Grass,0,euro,95,uk
AEGON International,2011,6,13,bois-le-duc,12/06/2011,398250,Grass,0,euro,36,dutchland
Wimbledon,2011,6,20,wimbledon,20/06/2011,11911831.43,Grass,0,£,37,uk
Hall of Fame Championships,2011,7,4,newport,4/07/2011,615929.025,Grass,0,$,40,usa
Mercedes Cup,2011,7,11,stuttgart,11/07/2011,398250,Clay,0,euro,42,germany
SkiStar Swedish Open,2011,7,11,båstad,11/07/2011,398250,Clay,0,euro,38,sweden
Atlanta Tennis Championships,2011,7,18,atlanta,18/07/2011,739114.83,Hard,0,$,21,usa
German Open Tennis Championships,2011,7,18,hambourg,18/07/2011,1000000,Clay,0,euro,30,germany
Allianz Suisse Open,2011,7,25,gstaad,25/07/2011,398250,Clay,0,euro,39,switzerland
Farmers Classic,2011,7,25,los angeles,25/07/2011,862300.635,Hard,0,$,45,usa
Studena Croatia Open,2011,7,25,umag,25/07/2011,398250,Clay,0,euro,43,croatia
Bet-At-Home Cup,2011,7,31,kitzbühel,31/07/2011,398250,Clay,0,euro,44,austria
Legg Mason Classic,2011,7,31,washington,31/07/2011,1623547.152,Hard,0,$,50,usa
Rogers Masters,2011,8,8,montréal,8/08/2011,3382389.9,Hard,0,$,202,canada
Western & Southern Financial Group Masters,2011,8,14,cincinnati,14/08/2011,3607882.56,Hard,0,$,48,usa
Winston-Salem Open at Wake Forest University,2011,8,21,winston-salem,21/08/2011,769911.2812,Hard,0,$,120,usa
US Open,2011,8,29,flushing meadows,29/08/2011,14626400.44,Hard,0,$,52,usa
Open de Moselle,2011,9,19,metz,19/09/2011,398250,Hard,1,euro,230,france
Open Romania,2011,9,19,bucarest,19/09/2011,371200,Clay,0,euro,53,romania
Malaysian Open,2011,9,26,kuala lumpur,26/09/2011,1183140.5,Hard,1,$,102,malaysia
Thailand Open,2011,9,26,bangkok,26/09/2011,817062.91,Hard,1,$,88,thailand
China Open,2011,10,3,pékin,3/10/2011,2923053,Hard,0,$,76,china
Rakuten Japan Open Tennis Championships,2011,10,3,tokyo,3/10/2011,1690498.985,Hard,0,$,57,japan
Shanghai Masters,2011,10,9,shanghai,9/10/2011,4509853.2,Hard,0,$,59,china
Kremlin Cup,2011,10,17,moscou,17/10/2011,1009149.25,Hard,1,$,62,russia
Stockholm Open,2011,10,17,stockholm,17/10/2011,531000,Hard,1,euro,68,sweden
Erste Bank Open,2011,10,24,vienne,24/10/2011,575250,Hard,1,euro,58,austria
St. Petersburg Open,2011,10,24,saint-pétersbourg,24/10/2011,923893.5375,Hard,1,$,65,russia
Valencia Open 500,2011,10,30,valence,30/10/2011,1357000,Hard,1,euro,85,spain
Swiss Indoors,2011,10,31,bâle,31/10/2011,1308100,Hard,1,euro,61,switzerland
BNP Paribas Masters,2011,11,8,paris,6/11/2011,2227500,Hard,1,euro,66,france
Masters Cup,2011,11,20,londres,20/11/2011,4400217.51,Hard,1,£,300,uk
Brisbane International,2012,1,1,brisbane,1/01/2012,624407.454,Hard,0,$,70,australia
Chennai Open,2012,1,2,chennai,2/01/2012,578155.05,Hard,0,$,2,india
Qatar Exxon Mobil Open,2012,1,2,doha,2/01/2012,1426436.987,Hard,0,$,3,qatar
Apia International,2012,1,9,sydney,9/01/2012,624407.454,Hard,0,$,5,australia
Heineken Open,2012,1,9,auckland,9/01/2012,578155.05,Hard,0,$,4,new-zealand
Australian Open,2012,1,16,melbourne,16/01/2012,14648516.46,Hard,0,AU$,6,australia
Open Sud de France,2012,1,30,montpellier,30/01/2012,450000,Hard,1,euro,201,france
PBZ Zagreb Indoors,2012,1,30,zagreb,30/01/2012,450000,Hard,1,euro,75,croatia
VTR Open,2012,1,30,viña del mar,30/01/2012,578155.05,Clay,0,$,72,chile
ABN AMRO World Tennis Tournament,2012,2,13,rotterdam,13/02/2012,1502500,Hard,1,euro,11,dutchland
Brasil Open,2012,2,13,são paulo,13/02/2012,684535.5792,Clay,1,$,93,brasil
SAP Open,2012,2,13,san josé,13/02/2012,770873.4,Hard,1,$,9,costa rica
Copa Claro,2012,2,20,buenos aires,20/02/2012,710616.7959,Clay,0,$,90,argentina
Open 13,2012,2,20,marseille,20/02/2012,770873.4,Hard,1,$,8,france
Regions Morgan Keegan Championships,2012,2,20,memphis,20/02/2012,1646457.104,Hard,1,$,10,usa
Abierto Mexicano,2012,2,27,acapulco,27/02/2012,1646457.104,Clay,0,$,87,mexico
Dubai Tennis Championships,2012,2,27,dubaï,27/02/2012,2972969.626,Hard,0,$,7,united arab emirates
International Championships,2012,2,27,delray beach,27/02/2012,642394.5,Hard,0,$,15,usa
BNP Paribas Open,2012,3,8,indian wells,8/03/2012,7130539.122,Hard,0,$,19,usa
Sony Ericsson Open,2012,3,21,miami,21/03/2012,6203025.531,Hard,0,$,20,usa
Grand Prix Hassan II,2012,4,9,casablanca,9/04/2012,450000,Clay,0,euro,22,tunisia
U.S. Men's Clay Court Championships,2012,4,9,houston,9/04/2012,642394.5,Clay,0,$,99,usa
Monte Carlo Masters,2012,4,15,monte-carlo,15/04/2012,2227500,Clay,0,euro,24,monaco
BRD Nastase Tiriac Trophy,2012,4,23,bucarest,23/04/2012,450000,Clay,0,euro,53,romania
Open Banco Sabadell,2012,4,23,barcelone,23/04/2012,2072500,Clay,0,euro,25,spain
BMW Open,2012,4,30,munich,30/04/2012,450000,Clay,0,euro,27,germany
Estoril Open,2012,4,30,estoril,30/04/2012,450000,Clay,0,euro,23,portugal
Serbia Open,2012,4,30,belgrade,30/04/2012,418700,Clay,0,euro,130,serbia
Mutua Madrid Open,2012,5,6,madrid,6/05/2012,3973695,Clay,0,euro,107,spain
Internazionali BNL d'Italia,2012,5,13,rome,13/05/2012,2950475,Clay,0,euro,29,italy
Open de Nice Côte d Azur,2012,5,22,nice,20/05/2012,450000,Clay,0,euro,111,france
French Open,2012,5,27,paris,27/05/2012,8487000,Clay,0,euro,32,france
Gerry Weber Open,2012,6,11,halle (westf.),11/06/2012,750000,Grass,0,euro,33,germany
AEGON Championships,2012,6,12,londres,11/06/2012,711550,Grass,0,euro,34,uk
Unicef Open,2012,6,17,eastbourne,17/06/2012,455700,Grass,0,euro,95,uk
AEGON International,2012,6,18,bois-le-duc,17/06/2012,450000,Grass,0,euro,36,dutchland
Wimbledon,2012,6,25,wimbledon,25/06/2012,5907357.409,Grass,0,£,37,uk
ATP Vegeta Croatia Open,2012,7,9,umag,9/07/2012,410175,Clay,0,euro,43,croatia
Hall of Fame Championships,2012,7,9,newport,9/07/2012,585542.5868,Grass,0,$,40,usa
Mercedes Cup,2012,7,9,stuttgart,9/07/2012,410175,Clay,0,euro,42,germany
SkiStar Swedish Open,2012,7,9,båstad,9/07/2012,410175,Clay,0,euro,38,sweden
BB&T Atlanta Open,2012,7,16,atlanta,16/07/2012,702651.1041,Hard,0,$,21,usa
Crédit Agricole Suisse Open Gstaad,2012,7,16,gstaad,16/07/2012,410175,Clay,0,euro,39,switzerland
German Open Tennis Championships,2012,7,16,hambourg,16/07/2012,1015000,Clay,0,euro,30,germany
Bet-At-Home Cup,2012,7,22,kitzbühel,22/07/2012,410175,Clay,0,euro,44,austria
Farmers Classic,2012,7,23,los angeles,23/07/2012,819759.6215,Hard,0,$,45,usa
Citi Open,2012,7,30,washington,30/07/2012,1652572.699,Hard,0,$,50,usa
Rogers Masters,2012,8,6,toronto,6/08/2012,4135350.354,Hard,0,$,202,canada
Western & Southern Financial Group Masters,2012,8,12,cincinnati,12/08/2012,4411040.378,Hard,0,$,48,usa
Winston-Salem Open at Wake Forest University,2012,8,19,winston-salem,19/08/2012,802993.125,Hard,0,$,120,usa
US Open,2012,8,27,flushing meadows,27/08/2012,15130960.05,Hard,0,$,52,usa
Open de Moselle,2012,9,17,metz,17/09/2012,450000,Hard,1,euro,230,france
St. Petersburg Open,2012,9,17,saint-pétersbourg,17/09/2012,601730.9281,Hard,1,$,65,russia
Malaysian Open,2012,9,24,kuala lumpur,24/09/2012,1217658.775,Hard,1,$,102,malaysia
Thailand Open,2012,9,24,bangkok,24/09/2012,781794.1065,Hard,1,$,88,thailand
China Open,2012,10,1,pékin,1/10/2012,4421601.343,Hard,0,$,76,china
Rakuten Japan Open Tennis Championships,2012,10,1,tokyo,1/10/2012,1807781.634,Hard,0,$,57,japan
Shanghai Masters,2012,10,7,shanghai,7/10/2012,7569462.872,Hard,0,$,59,china
Erste Bank Open,2012,10,15,vienne,15/10/2012,550000,Hard,1,euro,58,austria
Kremlin Cup,2012,10,15,moscou,15/10/2012,953506.1564,Hard,1,$,62,russia
Stockholm Open,2012,10,15,stockholm,15/10/2012,550000,Hard,1,euro,68,sweden
Valencia Open 500,2012,10,21,valence,21/10/2012,2086850,Hard,1,euro,85,spain
Swiss Indoors,2012,10,22,bâle,22/10/2012,1934300,Hard,1,euro,61,switzerland
BNP Paribas Masters,2012,10,29,paris,29/10/2012,2950475,Hard,1,euro,66,france
Masters Cup,2012,11,5,londres,5/11/2012,4459790.5,Hard,1,£,300,uk
Brisbane International,2013,1,1,brisbane,31/12/2012,579896.1623,Hard,0,$,70,australia
Chennai Open,2013,1,1,chennai,31/12/2012,511524.6477,Hard,0,$,2,india
Qatar Exxon Mobil Open,2013,1,1,doha,31/12/2012,1400792.617,Hard,0,$,3,qatar
Apia International,2013,1,7,sydney,7/01/2013,579896.1623,Hard,0,$,5,australia
Heineken Open,2013,1,7,auckland,7/01/2013,575606.3412,Hard,0,$,4,new-zealand
Australian Open,2013,1,14,melbourne,14/01/2013,22043120,Hard,0,AU$,6,australia
VTR Open,2013,2,4,viña del mar,4/02/2013,544794.0036,Clay,0,$,72,chile
Open Sud de France,2013,2,5,montpellier,4/02/2013,410200,Hard,1,euro,201,france
PBZ Zagreb Indoors,2013,2,5,zagreb,4/02/2013,410200,Hard,1,euro,75,croatia
ABN AMRO World Tennis Tournament,2013,2,11,rotterdam,11/02/2013,1267875,Hard,1,euro,11,dutchland
Brasil Open,2013,2,11,são paulo,11/02/2013,605322.9815,Clay,1,$,93,brasil
SAP Open,2013,2,12,san josé,11/02/2013,726387.5777,Hard,1,$,9,costa rica
Copa Claro,2013,2,18,buenos aires,18/02/2013,655652.0131,Clay,0,$,90,argentina
Open 13,2013,2,18,marseille,18/02/2013,528135,Hard,1,euro,8,france
U.S. National Indoor Tennis Championships,2013,2,18,memphis,18/02/2013,1610675.105,Hard,1,$,10,usa
Abierto Mexicano,2013,2,25,acapulco,25/02/2013,1610675.105,Clay,0,$,87,mexico
Dubai Tennis Championships,2013,2,25,dubaï,25/02/2013,2371354.689,Hard,0,$,7,united arab emirates
International Championships,2013,2,25,delray beach,25/02/2013,605322.9815,Hard,0,$,15,usa
BNP Paribas Open,2013,3,7,indian wells,7/03/2013,6895512.953,Hard,0,$,19,usa
Sony Ericsson Open,2013,3,20,miami,20/03/2013,5751581.014,Hard,0,$,20,usa
Grand Prix Hassan II,2013,4,8,casablanca,8/04/2013,410200,Clay,0,euro,22,tunisia
U.S. Men's Clay Court Championships,2013,4,8,houston,8/04/2013,605322.9815,Clay,0,$,99,usa
Monte Carlo Masters,2013,4,14,monte-carlo,14/04/2013,2646495,Clay,0,euro,24,monaco
BRD Nastase Tiriac Trophy,2013,4,22,bucarest,22/04/2013,410200,Clay,0,euro,53,romania
Open Banco Sabadell,2013,4,22,barcelone,22/04/2013,1708875,Clay,0,euro,25,spain
BMW Open,2013,4,29,munich,29/04/2013,410200,Clay,0,euro,27,germany
Portugal Open,2013,4,29,oeiras,29/04/2013,410200,Clay,0,euro,23,portugal
