Tournament,year,month,day,City,Date,Prize,Surface,Indoor_flag,Currency
Citrix Tennis Championships,2002,3,4,delray beach,4/03/2002,354590.25,Dur,0,$
Franklin Templeton Tennis Classic,2002,3,4,scottsdale,4/03/2002,354590.25,Dur,0,$
Pacific Life Open,2002,3,11,indian wells,11/03/2002,2316656.3,Dur,0,$
NASDAQ-100 Open,2002,3,18,miami,18/03/2002,2907640.05,Dur,0,$
Grand Prix Hassan II,2002,4,8,casablanca,8/04/2002,336624.344,Terre,0,$
Estoril Open,2002,4,8,estoril,8/04/2002,562616.53,Terre,0,$
Monte Carlo Masters,2002,4,15,monte-carlo,15/04/2002,2201296.272,Terre,0,$
Open Seat Godo,2002,4,22,barcelone,22/04/2002,903023.17,Terre,0,$
U.S. Men's Clay Court Championships,2002,4,22,houston,22/04/2002,354590.25,Terre,0,$
Mallorca Open,2002,4,29,palma de majorque,29/04/2002,336624.344,Terre,0,$
BMW Open,2002,4,29,munich,29/04/2002,336624.344,Terre,0,$
Rome TMS,2002,5,6,rome,6/05/2002,2201296.272,Terre,0,$
Hamburg TMS,2002,5,13,hambourg,13/05/2002,2201296.272,Terre,0,$
Internationaler Raiffeisen Grand Prix,2002,5,20,sankt pölten,20/05/2002,336624.344,Terre,0,$
French Open,2002,5,27,paris,27/05/2002,4981790.66,Terre,0,$
Gerry Weber Open,2002,6,10,halle (westf.),10/06/2002,695942.464,Gazon,0,$
Queens Club,2002,6,10,londres,10/06/2002,695942.464,Gazon,0,$
Nottingham Open,2002,6,17,nottingham,17/06/2002,336624.344,Gazon,0,$
Ordina Open,2002,6,17,bois-le-duc,17/06/2002,336624.344,Gazon,0,$
Wimbledon,2002,6,24,wimbledon,24/06/2002,5731267.741,Gazon,0,$
Swedish Open,2002,7,8,båstad,8/07/2002,336624.344,Terre,0,$
Gstaad Open,2002,7,8,gstaad,8/07/2002,543705.05,Terre,0,$
Hall of Fame Championships,2002,7,8,newport (ri),8/07/2002,354590.25,Gazon,0,$
Energis Open,2002,7,15,amersfoort,15/07/2002,336624.344,Terre,0,$
Mercedes Cup,2002,7,15,stuttgart,15/07/2002,449147.65,Terre,0,$
Croatia Open,2002,7,15,umag,15/07/2002,336624.344,Terre,0,$
Generali Open,2002,7,22,kitzbühel,22/07/2002,808465.77,Terre,0,$
Mercedes-Benz Cup,2002,7,22,los angeles,22/07/2002,354590.25,Dur,0,$
Idea Prokom Open,2002,7,22,sopot,22/07/2002,336624.344,Terre,0,$
Toronto TMS,2002,7,29,toronto,29/07/2002,2316656.3,Dur,0,$
Cincinnati TMS,2002,8,5,cincinnati,5/08/2002,2316656.3,Dur,0,$
RCA Championships,2002,8,12,indianapolis,12/08/2002,661901.8,Dur,0,$
Legg Mason Classic,2002,8,12,washington,12/08/2002,661901.8,Dur,0,$
TD Waterhouse Cup,2002,8,19,long island,19/08/2002,430236.17,Dur,0,$
US Open,2002,8,26,flushing meadows,26/08/2002,6508385.842,Dur,0,$
Open Romania,2002,9,9,bucarest,9/09/2002,336624.344,Terre,0,$
Brasil Open,2002,9,9,costa do sauípe,9/09/2002,516283.404,Dur,0,$
President's Cup,2002,9,9,tachkent,9/09/2002,496426.35,Dur,0,$
Salem Open,2002,9,23,hong kong,23/09/2002,354590.25,Dur,0,$
Campionati Internazionali Di Sicilia,2002,9,23,palerme,23/09/2002,336624.344,Terre,0,$
Kremlin Cup,2002,9,30,moscou,30/09/2002,921934.65,Moquette,1,$
Japan Open,2002,9,30,tokyo,30/09/2002,661901.8,Dur,0,$
Grand Prix de Lyon,2002,10,7,lyon,7/10/2002,695942.464,Moquette,1,$
CA Tennis Trophy,2002,10,7,vienne,7/10/2002,723364.11,Dur,1,$
Madrid Masters,2002,10,14,madrid,14/10/2002,2201296.272,Dur,1,$
Swiss Indoors,2002,10,21,bâle,21/10/2002,921934.65,Moquette,1,$
St. Petersburg Open,2002,10,21,saint-pétersbourg,21/10/2002,921934.65,Dur,1,$
Stockholm Open,2002,10,21,stockholm,21/10/2002,590983.75,Dur,1,$
BNP Paribas,2002,10,28,paris,28/10/2002,2201296.272,Moquette,1,$
Masters Cup,2002,11,11,shanghai,11/11/2002,3498623.8,Dur,1,$
AAPT Championships,2002,12,30,adélaïde,31/12/2001,313930.568,Dur,0,$
AAPT Championships,2003,1,1,adélaïde,30/12/2002,375541.136,Dur,0,$
TATA Open,2002,12,30,chennai,31/12/2001,354590.25,Dur,0,$
TATA Open,2003,1,1,chennai,30/12/2002,401557.54,Dur,0,$
Qatar Exxon Mobil Open,2002,12,30,doha,31/12/2001,921934.65,Dur,0,$
Qatar Exxon Mobil Open,2003,1,1,doha,30/12/2002,1102869.3,Dur,0,$
Heineken Open,2003,1,6,auckland,6/01/2003,364229.656,Dur,0,$
