Tournament,year,month,day,City,Date,Prize,Surface,Indoor_flag,Currency
Medibank International,2010,1,11,auckland,11/01/2010,471284.5725,Dur,0,$
Australian Open,2010,1,18,melbourne,18/01/2010,15934083.44,Dur,0,AU$
SA Tennis Open,2010,2,1,johannesburg,1/02/2010,586620.0375,Dur,0,$
Movistar Open,2010,2,1,santiago,1/02/2010,527958.0338,Terre,0,$
PBZ Zagreb Indoors,2010,2,1,zagreb,1/02/2010,398250,Dur,1,€
Brasil Open,2010,2,8,costa do sauípe,8/02/2010,586620.0375,Terre,0,$
ABN AMRO World Tennis Tournament,2010,2,8,rotterdam,8/02/2010,1150000,Dur,1,€
SAP Open,2010,2,8,san josé,8/02/2010,703944.045,Dur,1,$
Copa Telmex,2010,2,15,buenos aires,15/02/2010,630102.8335,Terre,0,$
Open 13,2010,2,15,marseille,15/02/2010,512750,Dur,1,€
Regions Morgan Keegan Championships,2010,2,15,memphis,15/02/2010,1458264.5,Dur,1,$
Abierto Mexicano,2010,2,22,acapulco,22/02/2010,1266038.725,Terre,0,$
International Championships,2010,2,22,delray beach,22/02/2010,586620.0375,Dur,0,$
Dubai Tennis Championships,2010,2,22,dubaï,22/02/2010,2146963.053,Dur,0,$
BNP Paribas Open,2010,3,11,indian wells,8/03/2010,4832158.275,Dur,0,$
Sony Ericsson Open,2010,3,24,miami,22/03/2010,4832158.275,Dur,0,$
Grand Prix Hassan II,2010,4,5,casablanca,5/04/2010,398250,Terre,0,€
U.S. Men's Clay Court Championships,2010,4,5,houston,5/04/2010,586620.0375,Terre,0,$
Monte Carlo Masters,2010,4,11,monte-carlo,12/04/2010,2227500,Terre,0,€
Open Banco Sabadell,2010,4,19,barcelone,19/04/2010,1550000,Terre,0,€
Internazionali BNL d'Italia,2010,4,25,rome,26/04/2010,2227500,Terre,0,€
Serbia Open,2010,5,3,belgrade,3/05/2010,373200,Terre,0,€
Estoril Open,2010,5,3,estoril,3/05/2010,398250,Terre,0,€
BMW Open,2010,5,3,munich,3/05/2010,398250,Terre,0,€
Mutua Madrileña Madrid Open,2010,5,9,madrid,10/05/2010,2835000,Terre,0,€
Open de Nice Côte d’Azur,2010,5,16,nice,17/05/2010,398250,Terre,0,€
French Open,2010,5,23,paris,24/05/2010,7580800,Terre,0,€
Gerry Weber Open,2010,6,7,halle (westf.),7/06/2010,663750,Gazon,0,€
AEGON Championships,2010,6,7,londres,7/06/2010,627700,Gazon,0,€
AEGON International,2010,6,13,bois-le-duc,14/06/2010,398250,Gazon,0,€
Unicef Open,2010,6,13,eastbourne,14/06/2010,405000,Gazon,0,€
Wimbledon,2010,6,21,wimbledon,21/06/2010,5315089.896,Gazon,0,£
Hall of Fame Championships,2010,7,5,newport,5/07/2010,586620.0375,Gazon,0,$
SkiStar Swedish Open,2010,7,12,stuttgart,12/07/2010,398250,Terre,0,€
Mercedes Cup,2010,7,12,båstad,12/07/2010,398250,Terre,0,€
Atlanta Tennis Championships,2010,7,19,hambourg,19/07/2010,1000000,Terre,0,€
German Open Tennis Championships,2010,7,19,atlanta,19/07/2010,703944.045,Dur,0,$
Allianz Suisse Open,2010,7,25,gstaad,26/07/2010,398250,Terre,0,€
Farmers Classic,2010,7,26,los angeles,26/07/2010,821268.0525,Dur,0,$
Studena Croatia Open,2010,7,26,umag,26/07/2010,398250,Terre,0,€
Legg Mason Classic,2010,8,1,washington,2/08/2010,1545097.523,Dur,0,$
Rogers Masters,2010,8,9,toronto,9/08/2010,3221438.85,Dur,0,$
Western & Southern Financial Group Masters,2010,8,15,cincinnati,16/08/2010,3221438.85,Dur,0,$
Pilot Pen Tennis,2010,8,23,new haven,23/08/2010,879930.0563,Dur,0,$
US Open,2010,8,30,flushing meadows,30/08/2010,13930403.06,Dur,0,$
Open Romania,2010,9,20,bucarest,20/09/2010,368450,Terre,0,€
Open de Moselle,2010,9,20,metz,20/09/2010,398250,Dur,1,€
Thailand Open,2010,9,27,bangkok,27/09/2010,730457.945,Dur,1,$
Proton Malaysian Open,2010,9,27,kuala lumpur,27/09/2010,1126840.75,Dur,1,$
China Open,2010,10,4,pékin,4/10/2010,2783959.5,Dur,0,$
Rakuten Japan Open Tennis Championships,2010,10,4,tokyo,4/10/2010,1458264.5,Dur,0,$
Shanghai Masters,2010,10,10,shanghai,11/10/2010,4295251.8,Dur,0,$
Kremlin Cup,2010,10,18,moscou,18/10/2010,1325695,Dur,1,$
Stockholm Open,2010,10,18,stockholm,18/10/2010,531000,Dur,1,€
Open Sud de France,2010,10,25,montpellier,25/10/2010,575250,Dur,1,€
St. Petersburg Open,2010,10,25,saint-pétersbourg,25/10/2010,879930.0563,Dur,1,$
BA-CA Tennis Trophy,2010,10,25,vienne,25/10/2010,575250,Dur,1,€
Swiss Indoors,2010,11,1,bâle,1/11/2010,1225000,Dur,1,€
Valencia Open 500,2010,10,31,valence,1/11/2010,1357000,Dur,1,€
BNP Paribas Masters,2010,11,9,paris,8/11/2010,2227500,Dur,1,€
Masters Cup,2010,11,21,londres,22/11/2010,1910807.415,Dur,1,£
Brisbane International,2011,1,2,brisbane,2/01/2011,587812.039,Dur,0,$
Chennai Open,2011,1,3,chennai,3/01/2011,554336.1225,Dur,0,$
Qatar Exxon Mobil Open,2011,1,3,doha,3/01/2011,1425336.32,Dur,0,$
Heineken Open,2011,1,10,sydney,10/01/2011,587812.039,Dur,0,$
Medibank International,2011,1,10,auckland,10/01/2011,554336.1225,Dur,0,$
Australian Open,2011,1,17,melbourne,17/01/2011,15392420.84,Dur,0,AU$
SA Tennis Open,2011,1,31,johannesburg,31/01/2011,615929.025,Dur,1,$
Movistar Open,2011,1,31,santiago du chili,31/01/2011,554336.1225,Terre,0,$
PBZ Zagreb Indoors,2011,1,31,zagreb,31/01/2011,398250,Dur,1,€
Brasil Open,2011,2,7,costa do sauípe,7/02/2011,654485.486,Terre,0,$
ABN AMRO World Tennis Tournament,2011,2,7,rotterdam,7/02/2011,1150000,Dur,1,€
SAP Open,2011,2,7,san josé,7/02/2011,739114.83,Dur,1,$
Copa Claro,2011,2,14,buenos aires,14/02/2011,666595.277,Terre,0,$
Open 13,2011,2,14,marseille,14/02/2011,512750,Dur,1,€
Regions Morgan Keegan Championships,2011,2,14,memphis,14/02/2011,1531123,Dur,1,$
Abierto Mexicano,2011,2,21,acapulco,21/02/2011,1531123,Terre,0,$
International Championships,2011,2,21,delray beach,21/02/2011,615929.025,Dur,0,$
Dubai Tennis Championships,2011,2,21,dubaï,21/02/2011,2254230.635,Dur,0,$
BNP Paribas Open,2011,3,10,indian wells,10/03/2011,5073584.85,Dur,0,$
Sony Ericsson Open,2011,3,23,miami,23/03/2011,5073584.85,Dur,0,$
Grand Prix Hassan II,2011,4,4,casablanca,4/04/2011,398250,Terre,0,€
U.S. Men's Clay Court Championships,2011,4,4,houston,4/04/2011,615929.025,Terre,0,$
Monte Carlo Masters,2011,4,10,monte-carlo,10/04/2011,2227500,Terre,0,€
Open Banco Sabadell,2011,4,18,barcelone,18/04/2011,1550000,Terre,0,€
Serbia Open,2011,4,25,belgrade,25/04/2011,364900,Terre,0,€
Estoril Open,2011,4,25,estoril,25/04/2011,398250,Terre,0,€
BMW Open,2011,4,24,munich,24/04/2011,398250,Terre,0,€
Mutua Madrileña Madrid Open,2011,5,1,madrid,1/05/2011,2835000,Terre,0,€
Internazionali BNL d'Italia,2011,5,8,rome,8/05/2011,2227500,Terre,0,€
Open de Nice Côte d’Azur,2011,5,15,nice,15/05/2011,398250,Terre,0,€
French Open,2011,5,22,paris,22/05/2011,7884000,Terre,0,€
Gerry Weber Open,2011,6,6,halle (westf.),6/06/2011,663750,Gazon,0,€
AEGON Championships,2011,6,6,londres,6/06/2011,608000,Gazon,0,€
AEGON International,2011,6,13,bois-le-duc,12/06/2011,398250,Gazon,0,€
Unicef Open,2011,6,12,eastbourne,12/06/2011,410925,Gazon,0,€
Wimbledon,2011,6,20,wimbledon,20/06/2011,11911831.43,Gazon,0,£
Hall of Fame Championships,2011,7,4,newport,4/07/2011,615929.025,Gazon,0,$
SkiStar Swedish Open,2011,7,11,båstad,11/07/2011,398250,Terre,0,€
Mercedes Cup,2011,7,11,stuttgart,11/07/2011,398250,Terre,0,€
Atlanta Tennis Championships,2011,7,18,atlanta,18/07/2011,739114.83,Dur,0,$
German Open Tennis Championships,2011,7,18,hambourg,18/07/2011,1000000,Terre,0,€
Allianz Suisse Open,2011,7,25,gstaad,25/07/2011,398250,Terre,0,€
Farmers Classic,2011,7,25,los angeles,25/07/2011,862300.635,Dur,0,$
Studena Croatia Open,2011,7,25,umag,25/07/2011,398250,Terre,0,€
Bet-At-Home Cup,2011,7,31,kitzbühel,31/07/2011,398250,Terre,0,€
Legg Mason Classic,2011,7,31,washington,1/08/2011,1623547.152,Dur,0,$
Rogers Masters,2011,8,8,montréal,8/08/2011,3382389.9,Dur,0,$
Western & Southern Financial Group Masters,2011,8,14,cincinnati,14/08/2011,3607882.56,Dur,0,$
Winston-Salem Open at Wake Forest University,2011,8,21,winston-salem,22/08/2011,769911.2812,Dur,0,$
US Open,2011,8,29,flushing meadows,29/08/2011,14626400.44,Dur,0,$
Open Romania,2011,9,19,bucarest,19/09/2011,371200,Terre,0,€
Open de Moselle,2011,9,19,metz,19/09/2011,398250,Dur,1,€
Thailand Open,2011,9,26,bangkok,26/09/2011,817062.91,Dur,1,$
Malaysian Open,2011,9,26,kuala lumpur,26/09/2011,1183140.5,Dur,1,$
China Open,2011,10,3,pékin,3/10/2011,2923053,Dur,0,$
Rakuten Japan Open Tennis Championships,2011,10,3,tokyo,3/10/2011,1690498.985,Dur,0,$
Shanghai Masters,2011,10,9,shanghai,9/10/2011,4509853.2,Dur,0,$
Kremlin Cup,2011,10,17,moscou,17/10/2011,1009149.25,Dur,1,$
Stockholm Open,2011,10,17,stockholm,17/10/2011,531000,Dur,1,€
St. Petersburg Open,2011,10,24,saint-pétersbourg,24/10/2011,923893.5375,Dur,1,$
Erste Bank Open,2011,10,24,vienne,24/10/2011,575250,Dur,1,€
Swiss Indoors,2011,10,31,bâle,31/10/2011,1308100,Dur,1,€
Valencia Open 500,2011,10,30,valence,30/10/2011,1357000,Dur,1,€
BNP Paribas Masters,2011,11,8,paris,6/11/2011,2227500,Dur,1,€
Masters Cup,2011,11,20,londres,20/11/2011,4400217.51,Dur,1,£
Brisbane International,2012,1,1,brisbane,1/01/2012,624407.454,Dur,0,$
Chennai Open,2012,1,2,chennai,2/01/2012,578155.05,Dur,0,$
Qatar Exxon Mobil Open,2012,1,2,doha,2/01/2012,1426436.987,Dur,0,$
Heineken Open,2012,1,9,auckland,9/01/2012,578155.05,Dur,0,$
Apia International,2012,1,9,sydney,9/01/2012,624407.454,Dur,0,$
Australian Open,2012,1,16,melbourne,16/01/2012,14648516.46,Dur,0,AU$
Open Sud de France,2012,1,30,montpellier,30/01/2012,450000,Dur,1,€
VTR Open,2012,1,30,viña del mar,30/01/2012,578155.05,Terre,0,$
PBZ Zagreb Indoors,2012,1,30,zagreb,30/01/2012,450000,Dur,1,€
ABN AMRO World Tennis Tournament,2012,2,13,rotterdam,13/02/2012,1502500,Dur,1,€
SAP Open,2012,2,13,san josé,13/02/2012,770873.4,Dur,1,$
Brasil Open,2012,2,13,são paulo,13/02/2012,684535.5792,Terre,1,$
Copa Claro,2012,2,20,buenos aires,20/02/2012,710616.7959,Terre,0,$
Open 13,2012,2,20,marseille,20/02/2012,770873.4,Dur,1,$
Regions Morgan Keegan Championships,2012,2,20,memphis,20/02/2012,1646457.104,Dur,1,$
Abierto Mexicano,2012,2,27,acapulco,27/02/2012,1646457.104,Terre,0,$
International Championships,2012,2,27,delray beach,27/02/2012,642394.5,Dur,0,$
Dubai Tennis Championships,2012,2,27,dubaï,27/02/2012,2972969.626,Dur,0,$
BNP Paribas Open,2012,3,8,indian wells,8/03/2012,7130539.122,Dur,0,$
Sony Ericsson Open,2012,3,21,miami,21/03/2012,6203025.531,Dur,0,$
Grand Prix Hassan II,2012,4,9,casablanca,9/04/2012,450000,Terre,0,€
U.S. Men's Clay Court Championships,2012,4,9,houston,9/04/2012,642394.5,Terre,0,$
Monte Carlo Masters,2012,4,15,monte-carlo,15/04/2012,2227500,Terre,0,€
Open Banco Sabadell,2012,4,23,barcelone,23/04/2012,2072500,Terre,0,€
BRD Nastase Tiriac Trophy,2012,4,23,bucarest,23/04/2012,450000,Terre,0,€
Serbia Open,2012,4,30,belgrade,30/04/2012,418700,Terre,0,€
Estoril Open,2012,4,30,estoril,30/04/2012,450000,Terre,0,€
BMW Open,2012,4,30,munich,30/04/2012,450000,Terre,0,€
Mutua Madrid Open,2012,5,6,madrid,6/05/2012,3973695,Terre,0,€
Internazionali BNL d'Italia,2012,5,13,rome,13/05/2012,2950475,Terre,0,€
Open de Nice Côte d’Azur,2012,5,22,nice,20/05/2012,450000,Terre,0,€
French Open,2012,5,27,paris,27/05/2012,8487000,Terre,0,€
Gerry Weber Open,2012,6,11,halle (westf.),11/06/2012,750000,Gazon,0,€
AEGON Championships,2012,6,12,londres,11/06/2012,711550,Gazon,0,€
AEGON International,2012,6,18,bois-le-duc,17/06/2012,450000,Gazon,0,€
Unicef Open,2012,6,17,eastbourne,17/06/2012,455700,Gazon,0,€
Wimbledon,2012,6,25,wimbledon,25/06/2012,5907357.409,Gazon,0,£
SkiStar Swedish Open,2012,7,9,båstad,9/07/2012,410175,Terre,0,€
Hall of Fame Championships,2012,7,9,newport,9/07/2012,585542.5868,Gazon,0,$
Mercedes Cup,2012,7,9,stuttgart,9/07/2012,410175,Terre,0,€
ATP Vegeta Croatia Open,2012,7,9,umag,9/07/2012,410175,Terre,0,€
BB&T Atlanta Open,2012,7,16,atlanta,16/07/2012,702651.1041,Dur,0,$
Crédit Agricole Suisse Open Gstaad,2012,7,16,gstaad,16/07/2012,410175,Terre,0,€
German Open Tennis Championships,2012,7,16,hambourg,16/07/2012,1015000,Terre,0,€
Bet-At-Home Cup,2012,7,22,los angeles,23/07/2012,819759.6215,Dur,0,$
Farmers Classic,2012,7,23,kitzbühel,22/07/2012,410175,Terre,0,€
Citi Open,2012,7,30,washington,30/07/2012,1652572.699,Dur,0,$
Rogers Masters,2012,8,6,toronto,6/08/2012,4135350.354,Dur,0,$
Western & Southern Financial Group Masters,2012,8,12,cincinnati,13/08/2012,4411040.378,Dur,0,$
Winston-Salem Open at Wake Forest University,2012,8,19,winston-salem,19/08/2012,802993.125,Dur,0,$
US Open,2012,8,27,flushing meadows,27/08/2012,15130960.05,Dur,0,$
Open de Moselle,2012,9,17,metz,17/09/2012,450000,Dur,1,€
St. Petersburg Open,2012,9,17,st. petersburg,17/09/2012,601730.9281,Dur,1,$
Thailand Open,2012,9,24,bangkok,24/09/2012,781794.1065,Dur,1,$
Malaysian Open,2012,9,24,kuala lumpur,24/09/2012,1217658.775,Dur,1,$
China Open,2012,10,1,pékin,1/10/2012,4421601.343,Dur,0,$
Rakuten Japan Open Tennis Championships,2012,10,1,tokyo,1/10/2012,1807781.634,Dur,0,$
Shanghai Masters,2012,10,7,shanghai,7/10/2012,7569462.872,Dur,0,$
Kremlin Cup,2012,10,15,moscou,15/10/2012,953506.1564,Dur,1,$
Stockholm Open,2012,10,15,stockholm,15/10/2012,550000,Dur,1,€
Erste Bank Open,2012,10,15,vienne,15/10/2012,550000,Dur,1,€
Swiss Indoors,2012,10,22,bâle,22/10/2012,1934300,Dur,1,€
Valencia Open 500,2012,10,21,valence,22/10/2012,2086850,Dur,1,€
BNP Paribas Masters,2012,10,29,paris,29/10/2012,2950475,Dur,1,€
Masters Cup,2012,11,5,londres,5/11/2012,4459790.5,Dur,1,£
Brisbane International,2013,1,1,brisbane,31/12/2012,579896.1623,Dur,0,$
Chennai Open,2013,1,1,chennai,31/12/2012,511524.6477,Dur,0,$
Qatar Exxon Mobil Open,2013,1,1,doha,31/12/2012,1400792.617,Dur,0,$
Heineken Open,2013,1,7,auckland,7/01/2013,575606.3412,Dur,0,$
Apia International,2013,1,7,sydney,7/01/2013,579896.1623,Dur,0,$
Australian Open,2013,1,14,melbourne,14/01/2013,22043120,Dur,0,AU$
Open Sud de France,2013,2,5,montpellier,4/02/2013,410200,Dur,1,€
VTR Open,2013,2,4,viña del mar,4/02/2013,544794.0036,Terre,0,$
PBZ Zagreb Indoors,2013,2,5,zagreb,4/02/2013,410200,Dur,1,€
ABN AMRO World Tennis Tournament,2013,2,11,rotterdam,11/02/2013,1267875,Dur,1,€
SAP Open,2013,2,12,san josé,11/02/2013,726387.5777,Dur,1,$
Brasil Open,2013,2,11,são paulo,11/02/2013,605322.9815,Terre,1,$
Copa Claro,2013,2,18,buenos aires,18/02/2013,655652.0131,Terre,0,$
Open 13,2013,2,18,marseille,18/02/2013,528135,Dur,1,€
U.S. National Indoor Tennis Championships,2013,2,18,memphis,18/02/2013,1610675.105,Dur,1,$
Abierto Mexicano,2013,2,25,acapulco,25/02/2013,1610675.105,Terre,0,$
International Championships,2013,2,25,delray beach,25/02/2013,605322.9815,Dur,0,$
Dubai Tennis Championships,2013,2,25,dubaï,25/02/2013,2371354.689,Dur,0,$
BNP Paribas Open,2013,3,7,indian wells,7/03/2013,6895512.953,Dur,0,$
Sony Ericsson Open,2013,3,20,miami,20/03/2013,5751581.014,Dur,0,$
Grand Prix Hassan II,2013,4,8,casablanca,8/04/2013,410200,Terre,0,€
U.S. Men's Clay Court Championships,2013,4,8,houston,8/04/2013,605322.9815,Terre,0,$
Monte Carlo Masters,2013,4,14,monte-carlo,15/04/2013,2646495,Terre,0,€
Open Banco Sabadell,2013,4,22,barcelone,22/04/2013,1708875,Terre,0,€
BRD Nastase Tiriac Trophy,2013,4,22,bucarest,22/04/2013,410200,Terre,0,€
BMW Open,2013,4,29,munich,29/04/2013,410200,Terre,0,€
Portugal Open,2013,4,29,oeiras,29/04/2013,410200,Terre,0,€
Mutua Madrid Open,2013,5,5,madrid,5/05/2013,3368265,Terre,0,€
Internazionali BNL d'Italia,2013,5,12,rome,12/05/2013,2646795,Terre,0,€
Power Horse Cup,2013,5,19,düsseldorf,19/05/2013,410200,Terre,0,€
Open de Nice Côte d’Azur,2013,5,19,nice,19/05/2013,410200,Terre,0,€
French Open,2013,5,26,paris,26/05/2013,11315000,Terre,0,€
Gerry Weber Open,2013,6,10,halle (westf.),10/06/2013,683665,Gazon,0,€
AEGON Championships,2013,6,10,londres,10/06/2013,683665,Gazon,0,€
AEGON International,2013,6,17,bois-le-duc,16/06/2013,410200,Gazon,0,€
Topshelf Open,2013,6,16,eastbourne,16/06/2013,468460,Gazon,0,€
Wimbledon,2013,6,24,wimbledon,24/06/2013,8929067.07,Gazon,0,£
SkiStar Swedish Open,2013,7,8,båstad,8/07/2013,433770,Terre,0,€
Hall of Fame Championships,2013,7,8,newport,8/07/2013,605322.9815,Gazon,0,$
Mercedes Cup,2013,7,8,stuttgart,8/07/2013,410200,Terre,0,€
Claro Open Colombia,2013,7,15,bogota,15/07/2013,847452.174,Dur,0,$
German Open Tennis Championships,2013,7,15,hambourg,15/07/2013,1102500,Terre,0,€
BB&T Atlanta Open,2013,7,22,atlanta,22/07/2013,726387.5777,Dur,0,$
Crédit Agricole Suisse Open Gstaad,2013,7,22,gstaad,22/07/2013,410200,Terre,0,€
ATP Vegeta Croatia Open,2013,7,22,umag,22/07/2013,410200,Terre,0,€
Bet-At-Home Cup,2013,7,29,kitzbühel,29/07/2013,410200,Terre,0,€
Citi Open,2013,7,29,washington d.c.,29/07/2013,1720962.023,Dur,0,$
Rogers Masters,2013,8,5,montréal,5/08/2013,3834389.556,Dur,0,$
Western & Southern Financial Group Masters,2013,8,11,cincinnati,12/08/2013,4090012.427,Dur,0,$
Winston-Salem Open at Wake Forest University,2013,8,18,winston-salem,18/08/2013,763999.8795,Dur,0,$
US Open,2013,8,26,flushing meadows,26/08/2013,0,Dur,0,$
Open de Moselle,2013,9,16,metz,16/09/2013,410200,Dur,1,€
St. Petersburg Open,2013,9,16,saint-pétersbourg,16/09/2013,605322.9815,Dur,1,$
Thailand Open,2013,9,23,kuala lumpur,23/09/2013,1162767.309,Dur,1,$
Malaysian Open,2013,9,23,bangkok,23/09/2013,753746.8085,Dur,1,$
Shanghai Masters,2013,10,6,shanghai,6/10/2013,5112517.195,Dur,0,$
Kremlin Cup,2013,10,14,moscou,14/10/2013,991772.1165,Dur,1,$
Stockholm Open,2013,10,14,stockholm,14/10/2013,530165,Dur,1,€
Erste Bank Open,2013,10,14,vienne,14/10/2013,501355,Dur,1,€
Swiss Indoors,2013,10,21,bâle,21/10/2013,1445835,Dur,1,€
Valencia Open 500,2013,10,21,valence,21/10/2013,1496095,Dur,1,€
BNP Paribas Masters,2013,10,28,paris,28/10/2013,2646495,Dur,1,€
Masters Cup,2013,11,4,londres,4/11/2013,7968708,Dur,1,$
Brisbane International,2014,1,1,brisbane,30/12/2013,601372.5477,Dur,0,$
Chennai Open,2014,1,1,chennai,30/12/2013,531380.4725,Dur,0,$
Qatar Exxon Mobil Open,2014,1,1,doha,30/12/2013,1457246.032,Dur,0,$
Heineken Open,2014,1,6,auckland,6/01/2014,604720.3702,Dur,0,$
Apia International,2014,1,6,sydney,6/01/2014,601372.5477,Dur,0,$
Australian Open,2014,1,13,melbourne,13/01/2014,23549984,Dur,0,AU$
Open Sud de France,2014,2,3,montpellier,3/02/2014,426605,Dur,1,€
Royal Guard Open Chile ,2014,2,3,viña del mar,3/02/2014,566745.1691,Terre,0,$
PBZ Zagreb Indoors,2014,2,3,zagreb,3/02/2014,426605,Dur,1,€
Copa Claro,2014,2,10,buenos aires,10/02/2014,649490.8539,Terre,0,$
U.S. National Indoor Tennis Championships,2014,2,10,memphis,10/02/2014,755658.0113,Dur,1,$
ABN AMRO World Tennis Tournament,2014,2,10,rotterdam,10/02/2014,1369305,Dur,1,€
Delray Beach Open,2014,2,17,delray beach,17/02/2014,629716.1165,Dur,0,$
Open 13,2014,2,17,marseille,17/02/2014,549260,Dur,1,€
Rio Open,2014,2,17,rio de janeiro,17/02/2014,1740030.755,Terre,0,$
Abierto Mexicano,2014,2,24,acapulco,24/02/2014,1740030.755,Dur,0,$
Dubai Tennis Championships,2014,2,24,dubaï,24/02/2014,2561801.618,Dur,0,$
Brasil Open,2014,2,24,são paulo,24/02/2014,629716.1165,Terre,1,$
BNP Paribas Open,2014,3,6,indian wells,6/03/2014,6961365.168,Dur,0,$
Sony Ericsson Open,2014,3,19,miami,19/03/2014,6271029.55,Dur,0,$
Grand Prix Hassan II,2014,4,7,casablanca,7/04/2014,426605,Terre,0,€
U.S. Men's Clay Court Championships,2014,4,7,houston,7/04/2014,629716.1165,Terre,0,$
Monte Carlo Masters,2014,4,13,monte-carlo,14/04/2014,2884675,Terre,0,€
Open Banco Sabadell ,2014,4,21,barcelone,21/04/2014,1845585,Terre,0,€
BRD Nastase Tiriac Trophy,2014,4,21,bucarest,21/04/2014,426605,Terre,0,€
BMW Open,2014,4,28,munich,28/04/2014,426605,Terre,0,€
Portugal Open,2014,4,28,oeiras,28/04/2014,426605,Terre,0,€
Mutua Madrid Open,2014,5,4,madrid,5/05/2014,3671405,Terre,0,€
Internazionali BNL d'Italia,2014,5,11,rome,12/05/2014,2884675,Terre,0,€
Dusseldorf Open,2014,5,18,düsseldorf,19/05/2014,426605,Terre,0,€
Open de Nice Côte d’Azur,2014,5,18,nice,19/05/2014,426605,Terre,0,€
French Open,2014,5,25,paris,26/05/2014,11552000,Terre,0,€
Gerry Weber Open,2014,6,9,halle (westf.),9/06/2014,711010,Gazon,0,€
AEGON Championships,2014,6,9,londres,9/06/2014,711010,Gazon,0,€
AEGON International,2014,6,16,bois-le-duc,16/06/2014,426605,Gazon,0,€
Topshelf Open,2014,6,15,eastbourne,16/06/2014,503185,Gazon,0,€
Wimbledon,2014,6,23,wimbledon,23/06/2014,9443695.8,Gazon,0,£
SkiStar Swedish Open,2014,7,7,båstad,7/07/2014,426605,Terre,0,€
Hall of Fame Championships,2014,7,7,newport,7/07/2014,629716.1165,Gazon,0,$
Mercedes Cup,2014,7,7,stuttgart,7/07/2014,426605,Terre,0,€
Claro Open Colombia,2014,7,14,bogota,14/07/2014,881606.5486,Dur,0,$
bet-at-home Open,2014,7,14,hambourg,14/07/2014,1190700,Terre,0,€
BB&T Atlanta Open,2014,7,21,atlanta,21/07/2014,755658.0113,Dur,0,$
Crédit Agricole Suisse Open Gstaad,2014,7,21,gstaad,21/07/2014,426605,Terre,0,€
ATP Vegeta Croatia Open,2014,7,21,umag,21/07/2014,426605,Terre,0,€
Bet-At-Home Cup,2014,7,28,kitzbühel,28/07/2014,426605,Terre,0,€
Citi Open,2014,7,28,washington d.c.,28/07/2014,1859502.85,Dur,0,$
Rogers Masters,2014,8,4,toronto,4/08/2014,4180686.367,Dur,0,$
Western & Southern Financial Group Masters,2014,8,10,cincinnati,11/08/2014,4459399.234,Dur,0,$
Winston-Salem Open at Wake Forest University,2014,8,17,winston-salem,18/08/2014,794789.0083,Dur,0,$
US Open,2014,8,25,flushing meadows,25/08/2014,23716240.43,Dur,0,$
Open de Moselle,2014,9,15,metz,15/09/2014,426605,Dur,1,€
Malaysian Open,2014,9,22,kuala lumpur,22/09/2014,1209626.731,Dur,1,$
Shenzhen Open,2014,9,22,shenzhen,22/09/2014,784121.1452,Dur,0,$
China Open,2014,9,29,pékin,29/09/2014,3321876.895,Dur,0,$
Rakuten Japan Open Tennis Championships,2014,9,29,tokyo,29/09/2014,1632495.241,Dur,0,$
Shanghai Masters,2014,10,5,shanghai,5/10/2014,5574250.703,Dur,0,$
Kremlin Cup,2014,10,13,moscou,13/10/2014,1031740.447,Dur,1,$
Stockholm Open,2014,10,13,stockholm,13/10/2014,521405,Dur,1,€
Erste Bank Open,2014,10,13,vienne,13/10/2014,521405,Dur,1,€
Swiss Indoors,2014,10,20,bâle,20/10/2014,1458610,Dur,1,€
Valencia Open 500,2014,10,20,valence,20/10/2014,1615780,Dur,1,€
BNP Paribas Masters,2014,10,27,paris,27/10/2014,2884675,Dur,1,€
Masters Cup,2014,11,9,londres,9/11/2014,8635256.5,Dur,1,$
Brisbane International,2015,1,5,brisbane,4/01/2015,487525.5598,Dur,0,$
Chennai Open,2015,1,5,chennai,5/01/2015,447682.9479,Dur,0,$
Qatar Exxon Mobil Open,2015,1,5,doha,5/01/2015,1253544.43,Dur,0,$
Heineken Open,2015,1,12,auckland,12/01/2015,515357.6934,Dur,0,$
Apia International,2015,1,12,sydney,11/01/2015,487525.5598,Dur,0,$
Australian Open,2015,1,19,melbourne,19/01/2015,22410206.73,Dur,0,AU$
Open Sud de France,2015,2,2,montpellier,2/02/2015,439405,Dur,1,€
Ecuador Open,2015,2,2,quito,2/02/2015,487525.5598,Terre,0,$
PBZ Zagreb Indoors,2015,2,2,zagreb,2/02/2015,439405,Dur,1,€
Memphis Open,2015,2,9,memphis,9/02/2015,650030.3813,Dur,1,$
ABN AMRO World Tennis Tournament,2015,2,9,rotterdam,9/02/2015,1478850,Dur,1,€
Brasil Open,2015,2,9,são paulo,9/02/2015,493344.9555,Terre,1,$
Delray Beach Open,2015,2,16,delray beach,16/02/2015,541691.9844,Dur,0,$
Open 13,2015,2,16,marseille,16/02/2015,565735,Dur,1,€
Rio Open,2015,2,16,rio de janeiro,16/02/2015,1569461.614,Terre,0,$
Abierto Mexicano,2015,2,23,acapulco,23/02/2015,1569461.614,Dur,0,$
Argentina Open,2015,2,23,buenos aires,23/02/2015,555366.7321,Terre,0,$
Dubai Tennis Championships,2015,2,23,dubaï,23/02/2015,2310677.321,Dur,0,$
BNP Paribas Open,2015,3,12,indian wells,12/03/2015,5970550.189,Dur,0,$
Sony Ericsson Open,2015,3,25,miami,25/03/2015,5970550.189,Dur,0,$
